Name,Details
MTR Rava Idli Instant Mix,"Description : MTR Rava Idli instant mix is a blend of the finest ingredients like curry leaves, chilli, ginger, cashewnut etc. for a healthy and wholesome breakfast. A delicious, traditional breakfast, ready in an instant. Bring home this signature dish with an authentic South Indian taste to be relished within minutes."
MTR Rava Idli Instant Mix,Country of Origin : India
MTR Rava Idli Instant Mix,Shelf Life : 12 months
MTR Rava Idli Instant Mix,"Ingredients : Semolina (84%), Edible Vegetable Fat, Bengal Gram Dal, Cashew Nut, Salt, Curry Leaves, Raising Agent (INS 500 ii), Mustard, Green Chilli, Ginger and Anti Caking Agent (INS 551)"
MTR Rava Idli Instant Mix,Manufacturer Name : MTR Foods Pvt. Ltd
MTR Rava Idli Instant Mix,"Manufacturer Address : MTR Foods Pvt. Ltd, # 80 Bommasandra Industrial Area, Hebbagodi, Anekal Taluk Bengaluru 560099."
Sunfeast Pasta Treat Pack of Tomato Cheese,"Description : On the look-out for a snack that offers the best of both worlds. Well, then your search ends here. As Sunfeast YiPPee! Instant Pasta Treat Tomato Cheese is both wholesome and delicious at the same time! A classic combination of cheesy and tangy flavours makes it a delectable and delicious snack. This delightful snack never goes out of style and has been loved by all ages for decades!"
Sunfeast Pasta Treat Pack of Tomato Cheese,Country of Origin : India
Sunfeast Pasta Treat Pack of Tomato Cheese,Shelf Life : 12 months
Sunfeast Pasta Treat Pack of Tomato Cheese,FSSAI License : 10012031000312
Sunfeast Pasta Treat Pack of Tomato Cheese,"Ingredients : PASTA: Wheat Semolina (Suji) (100%).Tomato Cheese Pasta Sauce Maker: Milk Solids, Dairy Whitener {Milk Solids, Refined Sugar And Emulsifiers [INS 339(ii), INS 339(iii)]}, Wheat Flour (Atta), Iodized Salt, Hydrogenated Vegetable Oil, Dehydrated Onion Bits, Tomato Powder (6.5%), Corn Flour, Dehydrated Tomato Bits (3.3%), Cheese Premix Powder (2.7%) {Cheese Solids (1.3%), Maltodextrin, Milk Solids, Iodized Salt, Refined Soyabean Oil, Acidity Regulator (INS 330), Emulsifier [INS 331(iii)], Anticaking Agent (INS 551) And Nature Identical Flavouring Substances}, #Spices & Condiments, Dairy Creamer [Anticaking Agent (INS 551)], Thickener (INS 1450) And Flavour Enhancers (INS 627, INS 631)."
Sunfeast Pasta Treat Pack of Tomato Cheese,Manufacturer Name : ITC
Sunfeast Pasta Treat Pack of Tomato Cheese,Nutritional Info : Energy (kcal) - 366Carbohydrate (g) - 73.0Total Sugars (g) - 7.2Added Sugars (g) - 0.6Total fat (g) - 3.6Trans fat (g) - 0.05Saturated fat (g) - 1.9Cholesterol (mg) - 2.0Sodium (mg) - 1120.0Protein (g) - 12.0
Lijjat Papad - Punjabi Masala,"Description : Lijjat Special Punjabi Masala Papad 1 kg Experience the crunchy goodness of Lijjat Special Punjabi Masala Papad. It goes well with a meal, beverages or you can have it as a standalone snack too."
Lijjat Papad - Punjabi Masala,Country of Origin : India
Lijjat Papad - Punjabi Masala,Shelf Life : 90 days
Lijjat Papad - Punjabi Masala,Manufacturer Name : Shri Mahila Griha Udyog
Lijjat Papad - Punjabi Masala,"Manufacturer Address : Shri Mahila Griha Udyog, Krishna Complex B-11 Tp B-15, Agra Road, Thane, Bhiwandi, 421302- Maharashtra."
"Pedigree Puppy, Chicken And Milk Flavour, Dry Dog Food",Shelf Life : 12 months
"Pedigree Puppy, Chicken And Milk Flavour, Dry Dog Food",Manufacturer Name : Mars INT (Pet Food)
Top Ramen Curry Veg Flat Noodles,Description : Top Ramen Curry Saucy Flat Instant Noodles 70 g Nissin brings you another delicious instant food product - Top Ramen Curry Saucy Flat Instant Noodles! It is 100% desi and 100% saucy. Top Ramen has brought the best of Indian flavours through these curry-flavoured flat noodles.
Top Ramen Curry Veg Flat Noodles,Country of Origin : India
Top Ramen Curry Veg Flat Noodles,Shelf Life : 10 months
Top Ramen Curry Veg Flat Noodles,FSSAI License : 10012011000894
Top Ramen Curry Veg Flat Noodles,Manufacturer Name : Indo Nissin Foods Ltd
Top Ramen Curry Veg Flat Noodles,"Manufacturer Address : Indo Nissin Foods Private Limited3Rd Floor, Centenary Building, 28, M. G. Road, Bengaluru � 560 001, Karnataka, India."
Nestle Ceralac Baby Cereal With Milk - Rice,"Description : Nestle CERELAC Baby Cereal with Milk & Rice is a complementary food for babies from 6 to 24 months. While infants and children have higher requirements of nutrients than adults, 2 serves of CERELAC Rice Cereal provides 37% of a baby’s daily need of iron. It is also a source of 14 important nutrients including vitamins and minerals."
Nestle Ceralac Baby Cereal With Milk - Rice,Country of Origin : India
Nestle Ceralac Baby Cereal With Milk - Rice,Shelf Life : 12 months
Nestle Ceralac Baby Cereal With Milk - Rice,FSSAI License : FSSAI No 10012011000168
Nestle Ceralac Baby Cereal With Milk - Rice,"Ingredients : Rice flour (48.6%), Milk solids (38.1%), Sugar, soyabean oil, Acidity regulator (Dibasic potassium phosphate), Minerals, Vitamins, Enzyme (Aloha amylase) and Packaging gases (Nitrogen and Carbon dioxide)."
Nestle Ceralac Baby Cereal With Milk - Rice,Manufacturer Name : NESTLE INDIA LIMITED
Nestle Ceralac Baby Cereal With Milk - Rice,"Manufacturer Address : Nestle India Limited 100/101, World Trade Centre, Barakhamba Lane, New Delhi."
Godrej Yummiez Chicken Nuggets,"Description : Yummiez Chicken nuggets are lightly breaded and fully fried. Our tender, juicy, Chicken Nuggets are made with fresh meat. Chicken Nuggets are made from easy ingredients and are free of chemical preservatives and fillers."
Godrej Yummiez Chicken Nuggets,Country of Origin : India
Godrej Yummiez Chicken Nuggets,Shelf Life : 12 months
Godrej Yummiez Chicken Nuggets,"Ingredients : Chicken Meat (52%), Water, Breadcrumbs (Wheat Flour, Yeast, Salt, Permitted Bread Improvers, Preservative (Ins 282) And Acidity Regulator (Ins260)), Edible Vegetable Oil (Rbd Palmolein), Batter (Wheat Flour, Corn Flour, Corn Starch, Salt And Emulsifier (Ins 466)), Soy, Isolated Soy Protein, Iodized Salt, Spices & Condiments And Texturizer (Ins 4510). Contains Permitted Class Ii Preservative. Allergy Advice: Contains Soy Protein And Gluten."
Godrej Yummiez Chicken Nuggets,Manufacturer Name : Godrej Tyson Foods Ltd
